Mois;Jour;Temp moy.(°C) - 2023;Neige au sol (cm) - 2023
1;1;0;25
1;2;-1,1;24
1;3;-0,2;24
1;4;-1,6;23
1;5;-6,5;23
1;6;-3,7;27
1;7;-5,3;27
1;8;-8,8;28
1;9;-6,9;26
1;10;-10;29
1;11;-13,2;29
1;12;-6,4;28
1;13;-3,1;40
1;14;-5,3;49
1;15;-9;47
1;16;-6,2;46
1;17;-5,3;45
1;18;-1,8;44
1;19;-1,3;43
1;20;-4,5;46
1;21;-6,1;51
1;22;-4,9;50
1;23;-3,2;53
1;24;-5,9;52
1;25;-12,5;51
1;26;-7,1;80
1;27;-10,8;74
1;28;-4,2;72
1;29;-12,1;70
1;30;-12,4;70
1;31;-16,2;72
2;1;-17,1;69
2;2;-8,5;69
2;3;-20,6;68
2;4;-26,4;60
2;5;-14,7;54
2;6;-9;63
2;7;-10,6;61
2;8;-2,1;62
2;9;-7,7;62
2;10;-5,2;69
2;11;-6,4;73
2;12;-0,8;71
2;13;-4,2;68
2;14;-3,6;68
2;15;-2,3;68
2;16;0,6;62
2;17;-9,5;67
2;18;-10,9;83
2;19;-3,5;77
2;20;-5,5;76
2;21;-14;73
2;22;-9,8;73
2;23;-12,5;73
2;24;-14,3;76
2;25;-18,6;74
2;26;-16,8;74
2;27;-11,5;72
2;28;-6,9;75
3;1;-2,5;91
3;2;-3,8;89
3;3;-9,2;93
3;4;-6,2;90
3;5;-1,6;88
3;6;0;85
3;7;-1,8;84
3;8;1,2;83
3;9;0,2;77
3;10;-2,7;76
3;11;-4,3;74
3;12;-2,3;74
3;13;0,7;73
3;14;1,8;72
3;15;0,2;71
3;16;0,8;71
3;17;0,5;69
3;18;0,4;70
3;19;-5,1;67
3;20;-3,4;67
3;21;-1,7;67
3;22;-4,9;67
3;23;-1,8;68
3;24;-1,1;74
3;25;-3,8;69
3;26;0,6;89
3;27;2,8;84
3;28;0,2;77
3;29;0,7;74
3;30;-4,1;73
3;31;-2,9;73
4;1;1,1;72
4;2;-3,3;74
4;3;-3,5;74
4;4;1;74
4;5;-3,4;71
4;6;1,7;79
4;7;0;77
4;8;-2,1;75
4;9;0,8;74
4;10;6,3;71
4;11;7;64
4;12;7,5;53
4;13;8,9;45
4;14;9;34
4;15;7,1;26
4;16;6,8;17
4;17;5,2;3
4;18;5,9;
4;19;5,2;
4;20;3,2;
4;21;4,4;
4;22;10,5;
4;23;9,1;
4;24;5,1;
4;25;6;
4;26;8,9;
4;27;8;
4;28;9,2;
4;29;11,2;
4;30;9,1;
5;1;8,1;
5;2;9,4;
5;3;6,3;
5;4;7,7;
5;5;12,1;
5;6;17;
5;7;15,1;
5;8;9,3;
5;9;8,4;
5;10;13,6;
5;11;16,8;
5;12;17,2;
5;13;10,4;
5;14;11,8;
5;15;14;
5;16;7,9;
5;17;5;
5;18;6,7;
5;19;12,8;
5;20;17;
5;21;12;
5;22;7,1;
5;23;11,7;
5;24;11,5;
5;25;11,2;
5;26;13;
5;27;18,8;
5;28;22;
5;29;13,2;
5;30;16,2;
5;31;21,3;
6;1;26,6;
6;2;15,1;
6;3;11,8;
6;4;12,2;
6;5;13,6;
6;6;12,2;
6;7;11,5;
6;8;11,8;
6;9;13,2;
6;10;15,3;
6;11;18,2;
6;12;21,2;
6;13;;
6;14;17,3;
6;15;;
6;16;14,3;
6;17;12,7;
6;18;13;
6;19;14,5;
6;20;17,2;
6;21;18,2;
6;22;21,2;
6;23;22,2;
6;24;22,6;
6;25;21,3;
6;26;17,3;
6;27;19,5;
6;28;22;
6;29;18,4;
6;30;21,4;
7;1;21,4;
7;2;22,2;
7;3;21,8;
7;4;23,5;
7;5;24,5;
7;6;26,2;
7;7;23,1;
7;8;23;
7;9;23,7;
7;10;20,1;
7;11;20,7;
7;12;21,1;
7;13;19,2;
7;14;21,3;
7;15;22,8;
7;16;20;
7;17;23,4;
7;18;21;
7;19;20,7;
7;20;20,8;
7;21;19,5;
7;22;19,8;
7;23;21,8;
7;24;21,5;
7;25;22,1;
7;26;21,5;
7;27;22,6;
7;28;22,4;
7;29;17;
7;30;16,3;
7;31;16,3;
8;1;16;
8;2;16,4;
8;3;16;
8;4;18,1;
8;5;18,6;
8;6;19,2;
8;7;17,2;
8;8;16,6;
8;9;18,5;
8;10;;
8;11;17,6;
8;12;18,4;
8;13;20,4;
8;14;19,5;
8;15;21;
8;16;21,4;
8;17;22,7;
8;18;20,3;
8;19;16,5;
8;20;19,3;
8;21;17,8;
8;22;15,9;
8;23;16,4;
8;24;18,7;
8;25;16;
8;26;18,3;
8;27;17;
8;28;16,9;
8;29;18,4;
8;30;15,7;
8;31;14,3;
9;1;15;
9;2;19,1;
9;3;22,3;
9;4;23,2;
9;5;24,9;
9;6;24,4;
9;7;24,8;
9;8;22,4;
9;9;17,4;
9;10;14,6;
9;11;17,9;
9;12;16;
9;13;17,9;
9;14;15;
9;15;15,7;
9;16;14,7;
9;17;17,4;
9;18;16,4;
9;19;13,7;
